,Long,Lat,Diameter [Km],Ellipticity,Diameter [pixels]
0,-132.60277575944835,31.459671409198844,11.251165162464133,0.9665717060172385,50.0
1,-131.96192981521025,33.31503080711273,22.502330324928266,0.980613014517517,100.0
2,-132.45646658583973,34.00893737193107,6.525675794229197,0.9768931196520628,29.0
3,-130.65004595927215,34.14625009483628,9.450978736469871,0.9829299923564645,42.0
4,-133.7445634641923,34.20563070418198,38.70400815887662,0.933246475547314,172.0
5,-133.7309335294472,32.63602396448191,7.425769007226328,0.9704833433283422,33.0
6,-133.7186916434787,33.22597961645868,19.35200407943831,0.9927915020285514,86.0
7,-131.62990124125258,34.41718578669584,6.075629187730631,0.966280553385854,27.0
8,-132.65206665024306,34.65845787554507,5.850605884481349,0.9290164472830189,26.0
9,-56.57873848395762,-8.134678093539044,76.28889361284202,0.9457495832324673,253.0
10,-57.47077383840935,-10.397616715791859,7.236891093708334,0.9557568429034304,24.0
11,-53.59983510030926,-9.26839486667306,11.759948027276042,0.9524947741238126,39.0
12,-53.296302004972304,-7.687193266661087,14.172245058512154,0.9559645749514757,47.0
13,-54.872555985740405,-10.357807359785603,3.015371289045139,0.9309437968889208,10.0
14,-53.107751534098725,-9.770738989728919,3.015371289045139,0.9574586632082981,10.0
15,-60.71361177990795,37.425063793720554,10.002812139223176,0.9733932845880331,14.0
16,-68.2479040164816,46.43530343621075,11.431785301969343,0.9820920572823071,16.0
17,-51.63149996430003,46.88427737737358,10.002812139223176,0.9855540901624515,14.0
18,-52.07935631353878,47.120690070274065,7.144865813730839,0.96921775247427,10.0
19,-52.138587405247904,45.880339478548336,6.4303792323577555,0.9671625186957721,9.0
20,-67.68686842615739,43.10949040861808,7.144865813730839,0.9189991877126609,10.0
21,-57.12134473325079,38.641917742978414,6.4303792323577555,0.9683156390208048,9.0
22,-64.45635467273871,40.82375922243898,5.715892650984672,0.927361281968773,8.0
23,-64.34773610942884,44.24081876341497,5.715892650984672,0.8649325365948626,8.0
24,-53.72189657433614,46.69520321039033,8.573838976477006,0.9529026339496882,12.0
25,-51.850578402007784,45.99838719576011,5.001406069611588,0.8649325365948626,7.0
26,-55.1802424995936,46.90791509325684,4.286919488238503,0.8717319276284515,6.0
27,-52.21905564799198,46.75428368414674,5.001406069611588,0.9959705616248864,7.0
28,-57.27782511559401,37.25950898839578,4.286919488238503,0.9455907985761907,6.0
29,-60.50135093213548,46.16368034449949,5.001406069611588,0.9959704877998702,7.0
30,-65.80345067717214,46.1164505275651,5.001406069611588,0.9959705616248864,7.0
31,-51.55409615703368,46.16368034449949,3.5724329068654197,0.8034502019944996,5.0
32,-52.21318514027597,46.43530343621075,5.715892650984672,0.9216206616848295,8.0
33,-53.81132804108916,47.71208719574805,7.144865813730839,0.8901946698071549,10.0
34,-103.97647883822762,15.981415338955456,9.813556814126908,0.9906816924627535,42.0
35,-101.83312137135565,15.653906768943882,12.383774074969669,0.972746908960273,53.0
36,-102.65828135703308,16.147106325451503,12.851086304213808,0.953507600005492,55.0
37,-101.21195021134523,15.842702968867187,14.486679106568292,0.938720684334328,62.0
38,-101.34490929739862,14.77161861047174,52.338969675343506,0.9671914522588809,224.0
39,-102.95311841497096,14.278440416686395,21.96367477447451,0.9434823456888682,94.0
40,-100.54119902033258,15.122220123422565,17.991520825899332,0.9190309112821761,77.0
41,-101.92033543714633,13.731247269502065,11.682805731103462,0.8943997725759106,50.0
42,-101.48390756971676,13.777493107104737,8.411620126394492,0.9673983179437179,36.0
43,-101.39678523073928,14.752354544403046,4.906778407063454,0.9744615265119833,21.0
44,-103.69080341573265,13.993296034892973,15.421303565056569,0.981569344292041,66.0
45,-100.91693546991971,15.642348030818939,10.280869043371046,0.9115601362843303,44.0
46,-101.75404354655757,16.798407611998165,6.0750589801738,0.9674834515748697,26.0
47,-101.08595923345106,15.472822117344407,9.813556814126908,0.9418821276522017,42.0
48,-103.0780062414238,15.788760474695566,8.411620126394492,0.924046818581835,36.0
49,-102.51189138752406,14.336237216747726,10.981837387237254,0.9483258443314059,47.0
50,-101.57151491095097,16.089306229427518,3.7384978339531076,0.9699360915730746,16.0
51,-100.84066419284093,16.235735210319785,5.140434521685523,0.976544514727081,22.0
52,-82.54220020752814,-9.145898859879356,36.88914912606256,0.9819212759086299,40.0
